station_id,station_name,operator,latitude,longitude,address,town,postcode,status,total_ports,max_power_kw,district,state,source
OSM_44,Sri Hartamas Nasi Lemak Burung Hantu (DBKL),Unknown,3.163117,101.6522831,,,,Operational,4.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_45,Petaling Street Hello Planet & Sasha,JomCharge,3.1421039,101.6971497,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_46,Unknown,Unknown,3.0685955,101.69178159999998,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_47,Unknown,Unknown,3.0710267,101.69331889999998,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_48,Taman Desa Public Bank (DBKL),JomCharge,3.1026111,101.6825826,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_50,Sri Hartamas Watsons (DBKL),JomChargeDiKL,3.1623497,101.650315,,,,Operational,3.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_51,Bangsar Coffee Stain (DBKL),JomCharge x DBKL,3.1308465,101.6710324,,,,Operational,3.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_52,Quick Charge 22kW,Quick Charge,3.2091405,101.667805,,,,Operational,2.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_53,Quick Charge 40kW,Quick Charge,3.2091436,101.6678508,,,,Operational,2.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_54,Unknown,Unknown,3.1413489,101.6971434,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_56,Unknown,Unknown,3.145395099999999,101.6631809,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_57,Unknown,Unknown,3.1488254,101.7132488,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_58,Unknown,Unknown,3.1095851,101.66504489999998,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_59,Unknown,Unknown,3.1197621,101.67640110000002,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_63,Unknown,Unknown,2.969665408893988,101.65462982755592,,,,Operational,1.0,22.0,Sepang,Selangor,OSM
OSM_65,Mont Kiara Only 1 Kopitiam,JomCharge,3.174465420364589,101.66066381471222,,,,Operational,4.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
,chargEV Charging Station,Unknown,2.7448340000000004,101.684595,"Bas Teksi Sepang 43900 MY, 43900, Selangor, Malaysia",,,OPERATIONAL,2.0,22.0,Sepang,Selangor,Google_Maps
,Gentari Charging Station,Unknown,2.7452683,101.6857688,"Level CP3, Pillar E1 & F1, Blok A, 26, 43900 Sepang, Selangor, Malaysia",,,OPERATIONAL,12.0,22.0,Sepang,Selangor,Google_Maps
,Virta Global Charging Station,Unknown,2.74527,101.6857671,"Lbh KLIA, 2, KLIA2 Arrival Ln, 43900 Sepang, Selangor, Malaysia",,,OPERATIONAL,3.0,22.0,Sepang,Selangor,Google_Maps
,chargEV Charging Station,Unknown,2.7453810000000005,101.685233,"2, KLIA2 Arrival Lane, 64000 Sepang, Selangor, Malaysia",,,OPERATIONAL,2.0,22.0,Sepang,Selangor,Google_Maps
,JomCharge Charging Station,Unknown,2.8236448,101.695526,"KipMall, KIPMall Kota Warisan, Kota Warisan, 43900 Sepang, Selangor, Malaysia",,,OPERATIONAL,2.0,22.0,Sepang,Selangor,Google_Maps
,Gentari Charging Station,Unknown,2.9016978,101.6706637,"1, Jalan P5/5, Presint 5, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",,,OPERATIONAL,2.0,22.0,WP Putrajaya,W.P. Putrajaya,Google_Maps
