name,category,district,latitude,longitude
Madrasah Attaufiqiah,community,Hulu Langat,2.9975741236645943,101.7874464913718
X2 Residency,residential,Sepang,2.965839922150529,101.59345976265467
Masjid Al-Baraqah,community,Klang,2.998433642327444,101.46405147204862
Plaza Park Avenue,work,Petaling,3.1919364931057057,101.59352413448023
Wisma Maba,work,WP Kuala Lumpur,3.143195849875959,101.70008874489524
Shell,transport,WP Kuala Lumpur,3.1784790750520444,101.70069225396104
Shell,transport,WP Kuala Lumpur,3.092609905242257,101.71084919261234
Petronas,transport,WP Kuala Lumpur,3.0918171730749378,101.71101528593566
Petronas,transport,Hulu Langat,2.9342619836148547,101.7684317982125
Petronas,transport,WP Kuala Lumpur,3.24347415844277,101.663283301382
KG07 Surian,transport,Petaling,3.1496129872316523,101.59371734723254
Pacific Place @ Ara Damansara,residential,Petaling,3.109896535687476,101.58573233345676
SRA Sungai Kantan 2,education,Hulu Langat,2.997784385456479,101.78712720041932
Shell,transport,Petaling,3.102989960692325,101.59669818903176
Lincoln University College,education,Petaling,3.0949910530512343,101.59307670985658
Malaysia Airlines Academy,education,Petaling,3.094260499137506,101.59427263112364
BHPetrol,transport,WP Kuala Lumpur,3.0839288259208604,101.6620126123351
Taman Seri Empangan,exercise,WP Putrajaya,2.8992227526509886,101.67837416772996
Petron Rinching (FI),transport,Hulu Langat,2.9355490906348454,101.85208693490044
Sekolah Kebangsaan Bandar Rinching,education,Hulu Langat,2.92671159185166,101.84874559562596
Petronas,transport,Gombak,3.2350830500007235,101.69154950000036
Depoh MRT Kajang,work,Hulu Langat,2.99912493515051,101.77968448328204
Petronas,transport,Hulu Langat,3.139726676054238,101.75176231125393
The Northshore Gardens,residential,WP Kuala Lumpur,3.1875505131624746,101.62628198057102
TTDI Grove Lake Park,exercise,Hulu Langat,2.997105538739945,101.80897389079846
KA07 Kepong Sentral,transport,Petaling,3.20865348380258,101.62844470941566
Muzium Petaling Jaya,entertainment,Petaling,3.105387323537484,101.6504134005155
Jabatan Alam Sekitar,work,WP Putrajaya,2.914592273544613,101.68578493661744
Jabatan Akauntan Negara,work,WP Putrajaya,2.9298301340917807,101.69020398459584
Jabatan Akauntan Negara,work,WP Putrajaya,2.9293054646195964,101.69013547045184
Sapura Secured Technologies,work,WP Kuala Lumpur,3.189070115054109,101.7348164597476
Pangsapuri Desa Sepakat,residential,Petaling,3.07264656221514,101.6411324614254
